"Archive Date","Associated Streets","Collection Date","Data Type","Intersection Number","Neighborhood Code","Original File Name","Site Location","Street Name","Study Period","Study Type"
"12/09/2018 07:00:00 PM","","04-24-2018","SPEED","","DORCHESTER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\DEVON ST_93_DO_48HR_ATR_SPD_04242018.XLSX","93","DEVON ST","48 HOURS","AUTOMATED TRAFFICE RECORDING"
"12/09/2018 07:00:00 PM","","06-12-2018","CLASSIFICATION","","EAST BOSTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\MERIDIAN ST_477_EB_48HR_ATR_CLS_06122018.XLSX","477","MERIDIAN ST","48 HOURS","AUTOMATED TRAFFICE RECORDING"
"12/09/2018 07:00:00 PM","","09-27-2018","CLASSIFICATION","","ALLSTON BRIGHTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\FRANKLIN ST_61_AB_48HR_ATR_CLS_09272018.XLS","61","FRANKLIN ST","48 HOURS","AUTOMATED TRAFFICE RECORDING"
"12/10/2018 07:00:00 PM","","09-27-2018","CLASSIFICATION","","ALLSTON BRIGHTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\CAMBRIDGE ST_630_AB_48HR_ATR_CLS_09272018.XLS","630","CAMBRIDGE ST","48 HOURS","AUTOMATED TRAFFICE RECORDING"
"12/10/2018 07:00:00 PM","","09-26-2017","CLASSIFICATION","","ALLSTON BRIGHTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\CAMBRIDGE ST_630_AB_48HR_ATR_CLS_09262017.XLS","630","CAMBRIDGE ST","48 HOURS","AUTOMATED TRAFFICE RECORDING"
"12/10/2018 07:00:00 PM","","09-27-2016","VOLUME","","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\SUMMER ST_227_BP_48HR_ATR_VOL_09272016.XLS","227","SUMMER ST","48 HOURS","AUTOMATED TRAFFICE RECORDING"
"12/10/2018 07:00:00 PM","","09-27-2016","VOLUME","","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\MASSACHUSETTS AVE_601_BP_48HR_ATR_VOL_09272016.XLS","601","MASSACHUSETTS AVE","48 HOURS","AUTOMATED TRAFFICE RECORDING"
"12/10/2018 07:00:00 PM","","06-21-2016","XXX","","ROXBURY","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\MASSACHUSETTS AVE_1071_RX_24HR_ATR_XXX_06212016.PDF","1071","MASSACHUSETTS AVE","24 HOURS","AUTOMATED TRAFFICE RECORDING"
"12/10/2018 07:00:00 PM","","10-04-2017","XXX","","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\WASHINGTON ST_608_BP_48HR_ATR_XXX_10042017.PDF","608","WASHINGTON ST","48 HOURS","AUTOMATED TRAFFICE RECORDING"
"12/10/2018 07:00:00 PM","","05-16-2018","VOLUME","","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\TYLER ST_79_BP_48HR_ATR_VOL_05162018.XLSX","79","TYLER ST","48 HOURS","AUTOMATED TRAFFICE RECORDING"
"12/10/2018 07:00:00 PM","","05-30-2018","XXX","","WEST ROXBURY","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\CANTERBURY ST_898_WR_48HR_ATR_XXX_05302018.PDF","898","CANTERBURY ST","48 HOURS","AUTOMATED TRAFFICE RECORDING"
"12/10/2018 07:00:00 PM","","06-12-2018","CLASSIFICATION","","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\BEACON ST_636_BP_48HR_ATR_CLS_06122018.XLSX","636","BEACON ST","48 HOURS","AUTOMATED TRAFFICE RECORDING"
"12/10/2018 07:00:00 PM","","09-27-2018","VOLUME","","DORCHESTER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\MT VERNON ST_270_DO_48HR_ATR_VOL_09272018.XLS","270","MT VERNON ST","48 HOURS","AUTOMATED TRAFFICE RECORDING"
"12/10/2018 07:00:00 PM","","10-04-2017","CLASSIFICATION","","DORCHESTER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\WASHINGTON ST_569_DO_48HR_ATR_CLS_10042017.XLS","569","WASHINGTON ST","48 HOURS","AUTOMATED TRAFFICE RECORDING"
"12/10/2018 07:00:00 PM","","04-24-2018","XXX","","DORCHESTER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\WOODCLIFF ST_36_DO_48HR_ATR_XXX_04242018.PDF","36","WOODCLIFF ST","48 HOURS","AUTOMATED TRAFFICE RECORDING"
"04/01/2015 08:00:00 PM","BLUE HILL AVE, STRATTON ST, WESTVIEW ST","04-02-2015","","1011","DORCHESTER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_1011_BLUE HILL AVE, STRATTON ST, WESTVIEW ST_DO_12HR_TMC_04022015.PDF","","","12 HOURS","TURNING MOVEMENT COUNT"
"05/05/2015 08:00:00 PM","","04-08-2015","XXX","","WEST ROXBURY","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\CENTRE ST_545_WR_24HR_ATR_XXX_04082015.PDF","545","CENTRE ST","24 HOURS","AUTOMATED TRAFFICE RECORDING"
"05/05/2015 08:00:00 PM","","04-29-2015","XXX","","DORCHESTER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\DELHI ST_199_MAT_24HR_ATR_XXX_04292015.PDF","199","DELHI ST","24 HOURS","AUTOMATED TRAFFICE RECORDING"
"01/11/2016 07:00:00 PM","","12-03-2014","SPEED","","DORCHESTER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\BLUE HILL AVE_316_DO_24HR_ATR_SPD_12032014.PDF","316","BLUE HILL AVE","24 HOURS","AUTOMATED TRAFFIC RECORDING"
"01/11/2016 07:00:00 PM","","12-03-2014","SPEED","","DORCHESTER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\COLUMBIA RD_373_DO_24HR_ATR_SPD_12032014.PDF","373","COLUMBIA RD","24 HOURS","AUTOMATED TRAFFIC RECORDING"
"02/22/2016 07:00:00 PM","","10-29-2015","SPEED","","WEST ROXBURY","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\WASHINGTON ST_4031_WR_6HR_ATR_SPD_10292015.PDF","4031","WASHINGTON ST","6 HOURS","AUTOMATED TRAFFIC RECORDING"
"02/22/2016 07:00:00 PM","","10-28-2015","SPEED","","WEST ROXBURY","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\WASHINGTON ST_4031_WR_6HR_ATR_SPD_10282015.PDF","4031","WASHINGTON ST","6 HOURS","AUTOMATED TRAFFIC RECORDING"
"08/01/2016 08:00:00 PM","OAK ST WEST, SHAWMUT AVE, TREMONT ST","06-15-2016","","1922","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_1922_OAK ST WEST, SHAWMUT AVE, TREMONT ST_BP_12HR_TMC_06152016.PDF","","","12 HOURS","TURNING MOVEMENT COUNT"
"08/01/2016 08:00:00 PM","AVENUE DE LAFAYETTE, WASHINGTON ST","06-15-2016","","3076","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_3076_AVE DE LAFAYETTE, WASHINGTON ST_BP_12HR_TMC_06152016.PDF","","","12 HOURS","TURNING MOVEMENT COUNT"
"08/02/2016 08:00:00 PM","","06-29-2016","XXX","","WEST ROXBURY","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\POPLAR ST_220_WR_24HR_ATR_XXX_06292016.PDF","220","POPLAR ST","24 HOURS","AUTOMATED TRAFFICE RECORDING"
"12/18/2016 07:00:00 PM","","09-27-2016","VOLUME","","DORCHESTER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\COLUMBIA RD_373_DO_72HR_ATR_VOL_09272016.XLS","373","COLUMBIA RD","72 HOURS","AUTOMATED TRAFFICE RECORDING"
